ntacode,2021,2022,2023,nta_name,transition_2021_2022,transition_2022_2023,n_unique_clusters,is_stable
QN1403,0,2,1,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0 -> 2,2 -> 1,3,False
SI0101,1,4,3,St. George-New Brighton,1 -> 4,4 -> 3,3,False
SI0102,0,2,3,Tompkinsville-Stapleton-Clifton-Fox Hills,0 -> 2,2 -> 3,3,False
SI0103,0,2,1,Rosebank-Shore Acres-Park Hill,0 -> 2,2 -> 1,3,False
SI0104,0,0,1,West New Brighton-Silver Lake-Grymes Hill,0 -> 0,0 -> 1,2,False
SI0105,1,0,1,Westerleigh-Castleton Corners,1 -> 0,0 -> 1,2,False
SI0106,1,2,3,Port Richmond,1 -> 2,2 -> 3,3,False
SI0107,4,2,3,Mariner's Harbor-Arlington-Graniteville,4 -> 2,2 -> 3,3,False
SI0201,0,2,1,Grasmere-Arrochar-South Beach-Dongan Hills,0 -> 2,2 -> 1,3,False
SI0202,3,4,8,New Dorp-Midland Beach,3 -> 4,4 -> 8,3,False
SI0203,3,0,8,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,3 -> 0,0 -> 8,3,False
SI0204,4,6,4,New Springville-Willowbrook-Bulls Head-Travis,4 -> 6,6 -> 4,2,False
SI0301,3,-1,1,Oakwood-Richmondtown,3 -> -1,-1 -> 1,3,False
SI0302,3,0,8,Great Kills-Eltingville,3 -> 0,0 -> 8,3,False
SI0303,-1,2,8,Arden Heights-Rossville,-1 -> 2,2 -> 8,3,False
SI0304,3,2,8,Annadale-Huguenot-Prince's Bay-Woodrow,3 -> 2,2 -> 8,3,False
SI0305,3,4,8,Tottenville-Charleston,3 -> 4,4 -> 8,3,False
