boro_cd,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_rate,weekday_rate,weekend_uplift,count_warm,count_cool,warm_rate,cool_rate,warm_season_ratio,warm_share,borough_name,district_number,cd_label,cd_short,year_start,year_end
209,7041,172669,10.617208739394169,40.77744123148915,663.168651274136,0.577900866354211,0.23675614259338162,0.02797898025848601,0.08265871325095867,0.004260758414997869,0.06945036216446528,0.0007101264024996449,0.000284050560999858,3071,0.43615963641528194,1477,0.20977133929839512,828,0.1175969322539412,1665,0.23647209203238176,1388,0.19713108933390144,3202,3839,1601.0,767.8,2.085178431883303,2188,4853,729.3333333333334,539.2222222222222,1.3525654234494129,0.3107513137338446,Bronx,9,Bronx Community District 9,BX 9,2021,2023
210,3093,129124,16.625450031296722,23.953718905857937,186.04007676048198,0.48496605237633367,0.18978338182993856,0.10184287099903007,0.11024894924021986,0.006142903330100227,0.10572259941804074,0.00032331070158422246,0.0009699321047526673,1391,0.4497251859036534,607,0.19624959586162302,409,0.13223407694794698,686,0.2217911412867766,609,0.19689621726479145,1393,1700,696.5,340.0,2.0485294117647057,900,2193,300.0,243.66666666666666,1.2311901504787963,0.2909796314258002,Bronx,10,Bronx Community District 10,BX 10,2021,2023
211,3728,117283,9.31922578972913,31.786362899994028,400.0332306690851,0.6936695278969958,0.0992489270386266,0.0407725321888412,0.060085836909871244,0.000536480686695279,0.10407725321888411,0.001072961373390558,0.000536480686695279,1309,0.3511266094420601,602,0.16148068669527896,556,0.14914163090128754,1261,0.3382510729613734,841,0.2255901287553648,1484,2244,742.0,448.8,1.6532976827094474,877,2851,292.3333333333333,316.77777777777777,0.9228340933005963,0.23524678111587982,Bronx,11,Bronx Community District 11,BX 11,2021,2023
212,41718,161037,14.390790777933818,259.05847724436,2898.9372886977467,0.9402655927896831,0.028716621122776738,0.012320820748837433,0.008821132364926411,0.001054700608849897,0.008509516275948032,9.588187353180882e-05,0.00021573421544656982,11063,0.26518529172060024,9013,0.2160458315355482,8262,0.1980440097799511,13380,0.32072486696390046,12534,0.3004458507119229,13565,28153,6782.5,5630.6,1.2045785529073278,19901,21817,6633.666666666667,2424.1111111111113,2.736535729018655,0.4770362912891318,Bronx,12,Bronx Community District 12,BX 12,2021,2023
301,9842,201535,12.234549579232171,48.83518991738408,804.4431825023242,0.36161349319244057,0.1630766104450315,0.1374720585246901,0.09337533021743548,0.009754115017272911,0.229831335094493,0.004369030684820158,0.0005080268238162975,3310,0.33631375736638897,1647,0.16734403576508838,1680,0.17069701280227595,3205,0.3256451940662467,2413,0.24517374517374518,4334,5508,2167.0,1101.6,1.967138707334786,2569,7273,856.3333333333334,808.1111111111111,1.0596727622714148,0.26102418207681366,Brooklyn,1,Brooklyn Community District 1,BK 1,2021,2023
302,8957,126308,7.368861040022447,70.91395636064223,1215.5202752978926,0.4527185441554092,0.11130959026459752,0.05068661382159205,0.06173942168136653,0.00267946857206654,0.24729262029697444,0.07178742882661605,0.0017863123813776935,1682,0.18778608909233002,1350,0.15072010717874287,2284,0.2549960924416657,3641,0.40649771128726137,3063,0.3419671765099922,2879,6078,1439.5,1215.6,1.1841888779203686,2144,6813,714.6666666666666,757.0,0.9440774988991633,0.23936585910461092,Brooklyn,2,Brooklyn Community District 2,BK 2,2021,2023
303,8374,182441,7.382018817938141,45.8997703367116,1134.3780348610555,0.5431096250298543,0.15261523764031526,0.09410078815380941,0.06615715309290661,0.0059708621925005975,0.13458323381896345,0.0021495103893002148,0.0013135896823501315,3268,0.390255552901839,1245,0.14867446859326486,1231,0.1470026271793647,2630,0.31406735132553143,1757,0.209816097444471,3498,4876,1749.0,975.2,1.7934782608695652,2284,6090,761.3333333333334,676.6666666666666,1.1251231527093597,0.27274898495342725,Brooklyn,3,Brooklyn Community District 3,BK 3,2021,2023
304,7318,115024,5.26400467308352,63.621505077201284,1390.1963342508398,0.4569554523093741,0.18352008745558895,0.14197868270019132,0.09292156326865264,0.004099480732440558,0.11861164252528013,0.0015031429352282044,0.00040994807324405577,3273,0.44725334790926485,1474,0.2014211533205794,968,0.132276578300082,1603,0.2190489204700738,1613,0.22041541404755396,3572,3746,1786.0,749.2,2.383876134543513,2078,5240,692.6666666666666,582.2222222222222,1.1896946564885496,0.28395736540038263,Brooklyn,4,Brooklyn Community District 4,BK 4,2021,2023
305,7021,205303,14.44486718957917,34.19823382999761,486.0550054115483,0.5863837060247828,0.17988890471442814,0.08075772681954138,0.07876370887337986,0.002848597065945022,0.06736932060959977,0.0009970089730807576,0.0029910269192422734,2964,0.42216208517305226,1400,0.19940179461615154,808,0.11508332146417889,1849,0.26335279874661727,1339,0.19071357356501922,3178,3843,1589.0,768.6,2.0673952641165756,2322,4699,774.0,522.1111111111111,1.4824430729942542,0.33072211935621704,Brooklyn,5,Brooklyn Community District 5,BK 5,2021,2023
306,6475,120661,7.9431327669611,53.662741067950705,815.1695546286605,0.16,0.10610038610038611,0.05405405405405406,0.053899613899613896,0.005714285714285714,0.22007722007722008,0.3996911196911197,0.0004633204633204633,1347,0.20803088803088804,905,0.13976833976833977,1469,0.22687258687258688,2754,0.42532818532818534,1922,0.29683397683397683,2142,4333,1071.0,866.6,1.235864297253635,1315,5160,438.3333333333333,573.3333333333334,0.7645348837209301,0.2030888030888031,Brooklyn,6,Brooklyn Community District 6,BK 6,2021,2023
