ntacode,nta_name,borough_name,ntatype,ntatype_label,is_residential,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_uplift,count_warm,count_cool,warm_season_ratio,year_start,year_end
BK1403,Midwood,Brooklyn,0,Residential/Mixed,True,1207,52142,2.993207690151112,23.148325725902342,403.24632466084057,0.7207953603976802,0.03811101905550953,0.01988400994200497,0.06462303231151616,0.014084507042253521,0.1375310687655344,0.0016570008285004142,0.0033140016570008283,309.0,0.256006628003314,169.0,0.140016570008285,266.0,0.2203811101905551,463.0,0.3835956917978459,343,0.28417564208782103,396,811,1.220715166461159,259,948,0.819620253164557,2021,2023
BK1501,Gravesend (East)-Homecrest,Brooklyn,0,Residential/Mixed,True,729,50129,3.240458446253055,14.542480400566538,224.96816795874776,0.522633744855967,0.09327846364883402,0.07133058984910837,0.08093278463648834,0.013717421124828532,0.2167352537722908,0.0,0.0013717421124828531,205.0,0.2812071330589849,105.0,0.1440329218106996,121.0,0.16598079561042525,298.0,0.40877914951989025,172,0.23593964334705075,260,469,1.3859275053304905,177,552,0.9619565217391304,2021,2023
BK1502,Madison,Brooklyn,0,Residential/Mixed,True,723,40723,2.543616067951555,17.754094737617564,284.2410099187068,0.4951590594744122,0.14522821576763487,0.027662517289073305,0.13001383125864455,0.0013831258644536654,0.19778699861687413,0.0013831258644536654,0.0013831258644536654,134.0,0.18533886583679116,125.0,0.17289073305670816,130.0,0.1798063623789765,334.0,0.46196403872752423,197,0.27247579529737204,233,490,1.1887755102040816,173,550,0.9436363636363635,2021,2023
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,0,Residential/Mixed,True,1919,66402,5.887337813758371,28.899731935785066,325.95377753174057,0.6836894215737364,0.06357477853048463,0.07868681605002606,0.03230849400729546,0.003126628452318916,0.1354872329338197,0.0026055237102657635,0.0005211047420531526,499.0,0.26003126628452317,370.0,0.1928087545596665,422.0,0.21990620114643042,628.0,0.3272537780093799,586,0.30536737884314746,660,1259,1.3105639396346307,407,1512,0.8075396825396824,2021,2023
BK1601,Ocean Hill,Brooklyn,0,Residential/Mixed,True,1502,40131,1.8663994592297963,37.42742518252722,804.7580557164475,0.6790945406125166,0.12383488681757657,0.04860186418109188,0.05525965379494008,0.0019973368841544607,0.08455392809587217,0.004660452729693742,0.0019973368841544607,570.0,0.3794940079893475,291.0,0.19374167776298268,214.0,0.14247669773635152,427.0,0.28428761651131823,324,0.21571238348868177,635,867,1.8310265282583622,427,1075,1.1916279069767444,2021,2023
BK1602,Brownsville,Brooklyn,0,Residential/Mixed,True,2182,54529,2.860121207325968,40.015404647068536,762.9047308942658,0.7149404216315307,0.13153070577451878,0.013748854262144821,0.03299725022914757,0.03299725022914757,0.07241063244729606,0.0009165902841429881,0.00045829514207149406,858.0,0.39321723189734187,412.0,0.18881759853345553,322.0,0.14757103574702107,590.0,0.27039413382218147,489,0.22410632447296058,836,1346,1.5527488855869243,662,1520,1.306578947368421,2021,2023
BK1701,East Flatbush-Erasmus,Brooklyn,0,Residential/Mixed,True,2084,45277,1.8367881796965322,46.027784526359966,1134.589182920543,0.5911708253358925,0.13531669865642995,0.06813819577735125,0.1017274472168906,0.0,0.10028790786948176,0.0,0.0033589251439539347,804.0,0.3857965451055662,353.0,0.16938579654510558,268.0,0.12859884836852206,659.0,0.31621880998080615,394,0.1890595009596929,784,1300,1.5076923076923077,488,1596,0.9172932330827067,2021,2023
BK1702,East Flatbush-Farragut,Brooklyn,0,Residential/Mixed,True,966,35262,2.2410054609507926,27.394929385741026,431.05651317340147,0.6801242236024845,0.07556935817805382,0.07556935817805382,0.048654244306418216,0.002070393374741201,0.11490683229813664,0.0010351966873706005,0.002070393374741201,407.0,0.42132505175983437,186.0,0.19254658385093168,140.0,0.14492753623188406,233.0,0.2412008281573499,222,0.22981366459627328,410,556,1.843525179856115,303,663,1.3710407239819005,2021,2023
BK1703,East Flatbush-Rugby,Brooklyn,0,Residential/Mixed,True,1221,39525,2.5274539480820164,30.891840607210625,483.0948555666338,0.6699426699426699,0.1122031122031122,0.10237510237510238,0.04832104832104832,0.000819000819000819,0.06388206388206388,0.001638001638001638,0.000819000819000819,513.0,0.4201474201474201,244.0,0.19983619983619982,180.0,0.14742014742014742,284.0,0.2325962325962326,289,0.23669123669123668,548,673,2.0356612184249627,370,851,1.3043478260869565,2021,2023
BK1704,East Flatbush-Remsen Village,Brooklyn,0,Residential/Mixed,True,1148,38460,1.7085595332465557,29.84919396775871,671.9110324582037,0.7857142857142857,0.10104529616724739,0.02613240418118467,0.04006968641114982,0.0008710801393728223,0.04529616724738676,0.0,0.0008710801393728223,380.0,0.3310104529616725,217.0,0.18902439024390244,193.0,0.1681184668989547,358.0,0.3118466898954704,277,0.24128919860627177,442,706,1.5651558073654392,258,890,0.8696629213483147,2021,2023
